"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","56","49704  >  60480 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"2","0.000056","127.0.0.1","127.0.0.1","TCP","56","60480  >  49704 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"3","0.000095","127.0.0.1","127.0.0.1","TCP","44","49704  >  60480 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"4","0.000457","127.0.0.1","127.0.0.1","TCP","65","60480  >  49704 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=21"
"5","0.000482","127.0.0.1","127.0.0.1","TCP","44","49704  >  60480 [ACK] Seq=1 Ack=22 Win=2619648 Len=0"
"6","1.010181","127.0.0.1","127.0.0.1","TCP","47","49704  >  60480 [PSH, ACK] Seq=1 Ack=22 Win=2619648 Len=3"
"7","1.010253","127.0.0.1","127.0.0.1","TCP","44","60480  >  49704 [ACK] Seq=22 Ack=4 Win=2619648 Len=0"
"8","1.010756","127.0.0.1","127.0.0.1","TCP","56","60480  >  49704 [PSH, ACK] Seq=22 Ack=4 Win=2619648 Len=12"
"9","1.010856","127.0.0.1","127.0.0.1","TCP","44","49704  >  60480 [ACK] Seq=4 Ack=34 Win=2619648 Len=0"
"10","1.011018","127.0.0.1","127.0.0.1","TCP","56","60480  >  49704 [PSH, ACK] Seq=34 Ack=4 Win=2619648 Len=12"
"11","1.011090","127.0.0.1","127.0.0.1","TCP","44","49704  >  60480 [ACK] Seq=4 Ack=46 Win=2619648 Len=0"
"12","1.011271","127.0.0.1","127.0.0.1","TCP","56","60480  >  49704 [PSH, ACK] Seq=46 Ack=4 Win=2619648 Len=12"
"13","1.011340","127.0.0.1","127.0.0.1","TCP","44","49704  >  60480 [ACK] Seq=4 Ack=58 Win=2619648 Len=0"
"14","1.011421","127.0.0.1","127.0.0.1","TCP","56","60480  >  49704 [PSH, ACK] Seq=58 Ack=4 Win=2619648 Len=12"
"15","1.011479","127.0.0.1","127.0.0.1","TCP","44","49704  >  60480 [ACK] Seq=4 Ack=70 Win=2619648 Len=0"
"16","1.011565","127.0.0.1","127.0.0.1","TCP","56","60480  >  49704 [PSH, ACK] Seq=70 Ack=4 Win=2619648 Len=12"
"17","1.011621","127.0.0.1","127.0.0.1","TCP","44","49704  >  60480 [ACK] Seq=4 Ack=82 Win=2619648 Len=0"
"18","1.011691","127.0.0.1","127.0.0.1","TCP","44","60480  >  49704 [FIN, ACK] Seq=82 Ack=4 Win=2619648 Len=0"
"19","1.011750","127.0.0.1","127.0.0.1","TCP","44","49704  >  60480 [ACK] Seq=4 Ack=83 Win=2619648 Len=0"
"20","1.013122","127.0.0.1","127.0.0.1","TCP","44","49704  >  60480 [FIN, ACK] Seq=4 Ack=83 Win=2619648 Len=0"
"21","1.013239","127.0.0.1","127.0.0.1","TCP","44","60480  >  49704 [ACK] Seq=83 Ack=5 Win=2619648 Len=0"
